date,ticker,sentiment
2025-05-07,OKLO,neutral
2025-05-06,OKLO,bullish
2025-05-03,OKLO,bullish
2025-05-04,HOOD,bearish
2025-05-04,HOOD,bullish
2025-05-07,OKLO,neutral
2025-05-06,OKLO,bullish
2025-05-03,OKLO,bullish
2025-05-07,OKLO,neutral
2025-05-06,OKLO,bullish
2025-05-03,OKLO,bullish
2025-05-04,HOOD,bearish
2025-05-04,HOOD,bullish
2025-05-07,OKLO,neutral
2025-05-06,OKLO,bullish
2025-05-03,OKLO,bullish
2025-05-07,OKLO,neutral
2025-05-06,OKLO,bullish
2025-05-03,OKLO,bullish
2025-05-07,PLTR,neutral
2025-05-07,PLTR,neutral
2025-05-06,PLTR,bearish
2025-05-06,PLTR,neutral
2025-05-06,PLTR,neutral
2025-05-07,OKLO,neutral
2025-05-06,OKLO,bullish
2025-05-03,OKLO,bullish
